"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"fucP",1.76454093533747,2.87629394200271,3.54890016401374,0.0177590261169614,0.879102183635087,-2.68330938437897
"yjfI",-1.81846560589201,0.765752855615172,-3.53108554201499,0.0180869939808004,0.879102183635087,-2.69932459584436
"yoaF",-1.66463003677194,0.533501448125668,-3.53084303136433,0.0180915063851923,0.879102183635087,-2.6995430526706
"gltF",-1.64677634927659,0.529930710626597,-3.49297361492669,0.0188122795185832,0.879102183635087,-2.73380190335662
"hdeB",-1.63956394665594,0.528488230102467,-3.47767540393087,0.0191127606093286,0.879102183635087,-2.74772359670355
"envY",-1.85096504946064,0.796734656781274,-3.45009237800727,0.0196685576981299,0.879102183635087,-2.7729440526596
"ydhL",1.82186294721926,8.43367078596269,3.44701751255567,0.019731656483187,0.879102183635087,-2.77576505561603
"ygfM",-1.59772038705325,0.636475401628522,-3.43841915450831,0.0199093371341467,0.879102183635087,-2.78366365170926
"gntK",-1.60043485532012,0.649430587445706,-3.41008803960449,0.0205078901212889,0.879102183635087,-2.8097945843356
"yodB",-1.5982958262611,0.520234606023498,-3.39014168647122,0.0209416658559384,0.879102183635087,-2.82828896301837
"ygbK",3.88021000119407,3.32699250911712,3.38821649551692,0.0209840860967753,0.879102183635087,-2.83007825318014
"ydiA",-2.31907731156839,1.02333900975667,-3.35943269848903,0.0216301861331218,0.879102183635087,-2.85691915936924
"yfaT",2.77747770005919,3.21128136880505,3.35900515790582,0.0216399530148342,0.879102183635087,-2.85731909783227
"citX",2.28829027148272,1.95685135705936,3.35748544799112,0.0216747106191075,0.879102183635087,-2.85874099253101
"mutM",1.73219296985715,4.76778736052734,3.35048148914316,0.0218357267403526,0.879102183635087,-2.8653001488015
"efeB",2.46065016541441,3.21908436414673,3.34098957316342,0.0220561259646996,0.879102183635087,-2.87420499812048
"ydaL",-1.77657025721971,0.780429902308054,-3.31962686338138,0.0225615225271131,0.879102183635087,-2.89431265134297
"cpdA",2.48942373220865,3.22341248968759,3.31597206017218,0.0226493060501431,0.879102183635087,-2.89776191283596
"wcaI",-3.70709265247785,1.58447026036669,-3.31533080451464,0.0226647483431718,0.879102183635087,-2.89836738140469
"ybjR",3.25885716462453,4.64773031748795,3.29920789698997,0.0230569879396099,0.879102183635087,-2.91361760475054
"yedR",-2.32642507499064,1.03591804953316,-3.29885241555511,0.0230657230059341,0.879102183635087,-2.91395443212775
"ygjI",-1.64130401858361,8.50649730828671,-3.28537499555179,0.023399699048207,0.879102183635087,-2.92674328789536
"insH-3",1.81593547596416,5.07771468477663,3.27186460700722,0.0237400396761172,0.879102183635087,-2.93959991333664
"aroF",1.62533524562881,4.48024417731368,3.2698186775538,0.023792069292708,0.879102183635087,-2.94155002304071
"frlD",1.63192611386786,4.61947796460491,3.25175074208707,0.0242572371507536,0.879102183635087,-2.95880805470333
"yqhH",-2.90186345196091,1.28245817056069,-3.23954663889339,0.0245773019678236,0.879102183635087,-2.97050196121137
"IS102",2.86123557138578,4.45104965578787,3.235404028647,0.0246870375761404,0.879102183635087,-2.97447813606826
"thrL",-3.88501068346205,10.4579176164638,-3.22125969511456,0.0250659400191405,0.879102183635087,-2.98807994527699
"nrfG",-2.85193576386995,6.71814275619478,-3.22094887803163,0.0250743403008127,0.879102183635087,-2.98837928743637
"paaB",-2.75131241808067,1.22644795305749,-3.21206464205148,0.025315809694715,0.879102183635087,-2.99694364760226
"ybjH",1.94743992658154,5.95225576084526,3.20944965141278,0.0253873872093704,0.879102183635087,-2.99946747241973
"yebR",-1.49767480789488,0.500110402350254,-3.17671467046224,0.0263031652577503,0.879102183635087,-3.03117593232389
"yjcR",2.25672384939576,4.31371685567062,3.17391003113311,0.0263833575875641,0.879102183635087,-3.03390248591635
"ydeP",1.76768358537221,5.59857047594532,3.16874655653792,0.0265317231519329,0.879102183635087,-3.03892626444216
"speF",2.21629462608949,4.064085385928,3.16386480515667,0.026672866093289,0.879102183635087,-3.04368078181337
"sufC",2.76552501297229,3.06709916571906,3.15597700693065,0.026902727148526,0.879102183635087,-3.05137293126424
"moaE",2.00753009657793,3.99178283257459,3.15144456334692,0.0270358260145562,0.879102183635087,-3.05579849836688
"ybdR",-1.43461164086108,0.547332880004887,-3.14283627685434,0.0272906790276981,0.879102183635087,-3.06421493071849
"yidK",1.75383867626742,5.03672784975214,3.13449213153413,0.027540317710979,0.879102183635087,-3.07238701272018
"ybeY",1.55785176226525,6.74574054460716,3.13217030439631,0.0276102418858278,0.879102183635087,-3.07466339334422
"yhbO",1.69739728806615,5.39114642554768,3.13187955841888,0.0276190121791768,0.879102183635087,-3.07494852291058
"puuR",-1.8492931429734,0.851756047030526,-3.11314703590059,0.0281907934467629,0.879102183635087,-3.09335410715297
"ycbG",-1.60310530519668,0.724367562132793,-3.10449900404936,0.0284592815515774,0.879102183635087,-3.10187437101587
"yhhL",2.63956969360105,2.42913736915308,3.07995584917831,0.029237171569798,0.879102183635087,-3.12613435244671
"flgJ",2.12233948570565,2.84617501018481,3.07253097565434,0.0294772256208436,0.879102183635087,-3.13349664074138
"yfcQ",-1.4087112293589,0.574654435922613,-3.07221948221409,0.0294873452007484,0.879102183635087,-3.13380574237113
"rhaR",1.91554653236616,5.53782866913657,3.06991288339928,0.0295624028694854,0.879102183635087,-3.13609521539339
"sdhA",1.89172577391929,2.84824701506259,3.05904477625567,0.0299189779926242,0.879102183635087,-3.1468964985139
