"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","g"
"yobF",-3.25999342837583,1.47224272771323,-3.01470023957558,0.0314251870414964,0.879102183635087,-3.19120447122896,"DOWN"
"yoaG",-1.31672654760701,0.463920750292681,-2.79290572207041,0.0403651359316104,0.879102183635087,-3.41835818904695,"STABLE"
"ybfA",-2.2615860200974,9.45345987099322,-2.76016608407922,0.0419121902135192,0.879102183635087,-3.45264328395899,"DOWN"
"ybjC",1.64058701111947,5.68850987437265,2.71049104433819,0.0443874886148539,0.879102183635087,-3.50501657799212,"STABLE"
"ydbJ",-1.23754938848192,0.448085318467663,-2.62496322772362,0.0490398200235622,0.879102183635087,-3.59615509407928,"STABLE"
"rpmH",1.40449455123227,5.74423435464979,2.57021721231662,0.0523005780191547,0.879102183635087,-3.65510547177063,"STABLE"
"tfaX",-4.44624078023754,2.11479899466747,-2.5271785889298,0.0550324574098378,0.879102183635087,-3.70176877185861,"STABLE"
"groS",-1.72268395661616,6.34035521754217,-2.52561921983796,0.0551343497524258,0.879102183635087,-3.70346458679663,"STABLE"
"pinH",-5.43873527299602,2.54972469094931,-2.50975031394999,0.0561831558390865,0.879102183635087,-3.72074197139555,"STABLE"
"yodD",-1.61403648695854,8.66971110713305,-2.4735418035549,0.0586593861344908,0.879102183635087,-3.76029759230372,"STABLE"
"ykfJ",1.542073511513,9.72173961911761,2.4382808491008,0.0611864328443083,0.879102183635087,-3.79899039978528,"STABLE"
"tatE",-2.25366479346932,1.17557006888527,-2.42144547367107,0.0624348515175809,0.879102183635087,-3.81752212985234,"STABLE"
"ydgT",1.01658960282021,7.37195209427976,2.35480905154274,0.0676565279311543,0.879102183635087,-3.89121985429937,"STABLE"
"yfgG",-4.07437120337969,2.03325971499474,-2.33207671620454,0.0695452461066129,0.879102183635087,-3.91648095877348,"STABLE"
"ecnB",1.70697802593554,7.07528128031478,2.2506193082262,0.0767976288370813,0.879102183635087,-4.00745098873548,"STABLE"
"yecH",-2.42740191390562,1.31671754211017,-2.20859327046428,0.0808555979588409,0.879102183635087,-4.05463250818082,"STABLE"
"ylcG",-0.973042426089938,4.08648656229036,-2.19792073301835,0.0819224866353734,0.879102183635087,-4.06663814258906,"STABLE"
"ilvL",-4.76169291727371,2.43797850732887,-2.15648276203696,0.0862104099692475,0.879102183635087,-4.11333511480029,"STABLE"
"ilvN",-1.56611625119455,8.0385481488533,-2.14562405586507,0.087373398858826,0.879102183635087,-4.12559219175499,"STABLE"
"ydaG",-4.88236136153934,2.51612809858974,-2.12101862035767,0.0900712249426245,0.879102183635087,-4.15339438229283,"STABLE"
"ypeB",2.17342639275735,6.56827217297136,2.1018417869027,0.0922354632170922,0.879102183635087,-4.17508756579795,"STABLE"
"napD",1.78263603250458,7.42358934904801,2.07289169486569,0.0956082271509408,0.879102183635087,-4.20787283206831,"STABLE"
"yqfE",-2.9225995552151,6.84401423567689,-2.05271966489925,0.098035637900408,0.879102183635087,-4.23073966395396,"STABLE"
"rzoD",-1.45331491203138,0.910107387332869,-2.05259802544905,0.0980504721664455,0.879102183635087,-4.23087760319055,"STABLE"
"dinI",-3.42194809449511,1.87165840769429,-2.02016787832171,0.102091475147652,0.879102183635087,-4.26767180812675,"STABLE"
"renD",1.00629264193504,6.28376654513978,2.01398052207393,0.102882263115256,0.879102183635087,-4.27469545031103,"STABLE"
"yjhD",-3.25605327068423,1.8005562592578,-1.99852876614263,0.104885464679812,0.879102183635087,-4.29223981534115,"STABLE"
"borD",2.0892612511437,5.07723437479499,1.98949426872832,0.106075725968288,0.879102183635087,-4.30250020396546,"STABLE"
"yehE",-2.53552729207666,1.45330106111514,-1.96960330606254,0.108746660047896,0.879102183635087,-4.3250948668037,"STABLE"
"yacG",-4.5756735160685,2.51697157790484,-1.8985565919564,0.11887679801018,0.879102183635087,-4.40581333390953,"STABLE"
"ecnA",-2.56186187257221,1.49824583449506,-1.89296886339205,0.119714230931626,0.879102183635087,-4.41216018367832,"STABLE"
"yjfY",-2.58629380212229,1.5116238923422,-1.8911964068748,0.119981149852507,0.879102183635087,-4.4141733258464,"STABLE"
"bssS",-3.83982165406499,2.15697439123671,-1.8816000192577,0.121437081828987,0.879102183635087,-4.4250717750206,"STABLE"
"xseB",2.23741372755428,1.95674137524868,1.87917921343482,0.121807250948787,0.879102183635087,-4.42782073504369,"STABLE"
"trpL",4.48254600568976,3.5860368045518,1.86010339350955,0.12476545820726,0.879102183635087,-4.44947723138676,"STABLE"
"yhjR",1.53431482299196,6.17192842572169,1.85377956384695,0.1257624937315,0.879102183635087,-4.45665426311795,"STABLE"
"sbcB",1.11568650833211,8.03446381454554,1.85128282656363,0.126158405980657,0.879102183635087,-4.45948749752232,"STABLE"
"ydfX",-2.36151473568544,5.72528354972268,-1.84117537229966,0.127774387723017,0.879102183635087,-4.47095494032036,"STABLE"
